               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065331,            0.033725,            0.036531,             0.43713,             0.73319,             0.60425,             0.32191,             0.04539,            0.013883,            0.019118,           0.0033221,           0.0033221,            0.070101
                   1,            0.055055,            0.021778,            0.017855,             0.47433,              0.7903,             0.60465,              0.2934,            0.046622,            0.010088,           0.0097138,           0.0062162,           0.0062162,            0.039661
                   2,            0.052437,             0.01815,             0.01257,             0.61788,             0.76331,             0.72068,             0.26588,            0.041397,            0.009313,           0.0089998,           0.0086703,           0.0086703,           0.0087821
                   3,            0.042883,            0.017864,            0.011499,             0.74889,             0.84916,             0.85785,             0.53293,             0.03019,           0.0089254,            0.007429,             0.00802,             0.00802,             0.00802
                   4,            0.035702,            0.018743,            0.010161,             0.89832,             0.88252,             0.92798,             0.60682,              0.0274,           0.0088988,           0.0072306,             0.00802,             0.00802,             0.00802
                   5,            0.030012,            0.017733,           0.0083329,             0.93079,             0.91579,             0.95523,             0.69141,            0.022299,            0.008799,           0.0063545,             0.00736,             0.00736,             0.00736
                   6,            0.026826,            0.017453,           0.0079453,             0.91671,             0.91812,             0.94162,             0.67459,            0.022489,            0.008544,           0.0060403,              0.0067,              0.0067,              0.0067
                   7,            0.024584,            0.017061,           0.0065284,             0.93591,             0.92894,             0.96412,             0.71867,            0.020485,           0.0079919,           0.0051712,             0.00604,             0.00604,             0.00604
                   8,            0.024471,            0.016712,           0.0056462,             0.94625,             0.92393,             0.96267,             0.77042,             0.01764,           0.0077859,           0.0055987,             0.00538,             0.00538,             0.00538
                   9,            0.021009,            0.015784,           0.0046367,              0.9386,             0.94912,             0.96729,             0.74913,            0.017906,           0.0078612,           0.0048852,             0.00472,             0.00472,             0.00472
                  10,            0.019302,            0.015326,           0.0043847,             0.96119,             0.93886,             0.96746,              0.8012,            0.015787,           0.0075366,           0.0045397,             0.00406,             0.00406,             0.00406
                  11,            0.017782,             0.01419,           0.0036658,             0.94325,             0.94596,             0.96464,             0.80885,            0.014212,           0.0075171,           0.0042832,              0.0034,              0.0034,              0.0034
                  12,            0.016493,            0.014209,           0.0032594,             0.94975,             0.95062,             0.96786,             0.80327,            0.014783,           0.0076542,           0.0042819,             0.00274,             0.00274,             0.00274
                  13,            0.014673,            0.013316,            0.003567,             0.96858,             0.92716,             0.96745,             0.80891,            0.013474,           0.0074556,           0.0043685,             0.00208,             0.00208,             0.00208
                  14,            0.013717,             0.01346,           0.0032925,              0.9364,             0.95954,             0.96867,              0.8271,            0.012157,           0.0072172,           0.0044493,             0.00142,             0.00142,             0.00142
